education,gender,nuts1,parameter_set,population
no_qualifications,male,UKG,3,273542.62831024174
no_qualifications,male,UKH,3,186595.61857911342
no_qualifications,male,UKI,3,225258.06090403232
no_qualifications,male,UKJ,3,195495.76546035064
no_qualifications,male,UKK,3,117359.2591345826
no_qualifications,male,UKL,3,117539.60367939425
no_qualifications,male,UKM,3,212458.57788485117
no_qualifications,female,UKC,3,107260.97258438506
no_qualifications,female,UKD,3,277428.51689807035
no_qualifications,female,UKE,3,218033.35183810277
no_qualifications,female,UKF,3,149114.06509134625
no_qualifications,female,UKG,3,280663.83437420026
no_qualifications,female,UKH,3,186868.11152999464
no_qualifications,female,UKI,3,230778.96127251032
no_qualifications,female,UKJ,3,200474.30396456548
no_qualifications,female,UKK,3,113286.61855353403
no_qualifications,female,UKL,3,127198.33189986297
no_qualifications,female,UKM,3,230057.36322290153
level_one,male,UKC,3,250535.15119268635
level_one,male,UKD,3,597977.3006034527
level_one,male,UKE,3,432212.36554702406
level_one,male,UKF,3,403990.1667083693
level_one,male,UKG,3,502383.63672661607
level_one,male,UKH,3,536598.4926222381
level_one,male,UKI,3,436381.1944033453
level_one,male,UKJ,3,693308.0816502953
level_one,male,UKK,3,456802.0930392862
level_one,male,UKL,3,265834.86397223215
level_one,male,UKM,3,308001.13190111215
level_one,female,UKC,3,305504.93638506037
level_one,female,UKD,3,746557.9126799586
level_one,female,UKE,3,565802.446425652
level_one,female,UKF,3,505193.10209298297
level_one,female,UKG,3,589109.4818058187
level_one,female,UKH,3,661124.7693818643
level_one,female,UKI,3,521733.93002971204
level_one,female,UKJ,3,829952.6882900745
level_one,female,UKK,3,555172.7516902719
level_one,female,UKL,3,316188.7536948217
level_one,female,UKM,3,406428.9240524082
level_two,male,UKC,3,292421.81997147406
level_two,male,UKD,3,722046.533348681
level_two,male,UKE,3,595392.8502348631
level_two,male,UKF,3,526035.7186296753
level_two,male,UKG,3,544324.9832247042
level_two,male,UKH,3,571597.6417638563
level_two,male,UKI,3,574916.7410195555
level_two,male,UKJ,3,878166.611711553
level_two,male,UKK,3,610679.0036747726
level_two,male,UKL,3,322524.06651653623
level_two,male,UKM,3,577486.8638686338
level_two,female,UKC,3,238695.89584491545
level_two,female,UKD,3,649918.1730221581
level_two,female,UKE,3,495930.134783563
level_two,female,UKF,3,458883.1351596519
level_two,female,UKG,3,472679.06999331695
level_two,female,UKH,3,536080.8455578327
level_two,female,UKI,3,559130.2203489223
level_two,female,UKJ,3,764607.7728030658
level_two,female,UKK,3,540395.7204327745
level_two,female,UKL,3,259937.35441310905
level_two,female,UKM,3,434746.42724187684
level_three,male,UKC,3,165409.4778081811
level_three,male,UKD,3,499870.85927363305
level_three,male,UKE,3,401070.55419085285
level_three,male,UKF,3,366440.5572888497
level_three,male,UKG,3,388194.83738176094
level_three,male,UKH,3,419166.6765576701
level_three,male,UKI,3,593027.8559602549
level_three,male,UKJ,3,608814.8115650723
level_three,male,UKK,3,385937.0485497864
level_three,male,UKL,3,228780.0552727082
level_three,male,UKM,3,448355.3354005986
level_three,female,UKC,3,180272.04895350564
