education,gender,nuts1,parameter_set,vote_intention,predicted_probability
level_one,female,UKH,1,conservative,0.501636005977817
level_one,female,UKI,1,conservative,0.240322412922085
level_one,female,UKJ,1,conservative,0.468712130751257
level_one,female,UKK,1,conservative,0.352794413360692
level_one,female,UKL,1,conservative,0.325905621613502
level_one,female,UKM,1,conservative,0.144747795528722
level_two,male,UKC,1,conservative,0.308257142755222
level_two,male,UKD,1,conservative,0.39602515545051
level_two,male,UKE,1,conservative,0.391858151931735
level_two,male,UKF,1,conservative,0.541680626800879
level_two,male,UKG,1,conservative,0.415606578776777
level_two,male,UKH,1,conservative,0.560100868353954
level_two,male,UKI,1,conservative,0.306119384456209
level_two,male,UKJ,1,conservative,0.532272177375323
level_two,male,UKK,1,conservative,0.415728949628425
level_two,male,UKL,1,conservative,0.400427870605337
level_two,male,UKM,1,conservative,0.185407377745505
level_two,female,UKC,1,conservative,0.233532744726903
level_two,female,UKD,1,conservative,0.312540740181016
level_two,female,UKE,1,conservative,0.311031067661075
level_two,female,UKF,1,conservative,0.449169851378165
level_two,female,UKG,1,conservative,0.330683866156758
level_two,female,UKH,1,conservative,0.478029426099348
level_two,female,UKI,1,conservative,0.22679328729324
level_two,female,UKJ,1,conservative,0.442172241408885
level_two,female,UKK,1,conservative,0.328125633406091
level_two,female,UKL,1,conservative,0.31191908841801
level_two,female,UKM,1,conservative,0.138585880936036
level_three,male,UKC,1,conservative,0.307559734227625
level_three,male,UKD,1,conservative,0.393454353615518
level_three,male,UKE,1,conservative,0.387217082525724
level_three,male,UKF,1,conservative,0.53307950595668
level_three,male,UKG,1,conservative,0.410967307686399
level_three,male,UKH,1,conservative,0.545451628435369
level_three,male,UKI,1,conservative,0.287841854085411
level_three,male,UKJ,1,conservative,0.506806546165653
level_three,male,UKK,1,conservative,0.377296016944361
level_three,male,UKL,1,conservative,0.380564537024702
level_three,male,UKM,1,conservative,0.18032968928542
level_three,female,UKC,1,conservative,0.230682709027094
level_three,female,UKD,1,conservative,0.308249558604107
level_three,female,UKE,1,conservative,0.305409000447844
level_three,female,UKF,1,conservative,0.442402580163986
level_three,female,UKG,1,conservative,0.32619118820766
level_three,female,UKH,1,conservative,0.466965215114413
level_three,female,UKI,1,conservative,0.213104203649597
level_three,female,UKJ,1,conservative,0.422983405653091
level_three,female,UKK,1,conservative,0.299834066272695
level_three,female,UKL,1,conservative,0.295508389765666
level_three,female,UKM,1,conservative,0.134749132126775
level_four,male,UKC,1,conservative,0.308984220364049
level_four,male,UKD,1,conservative,0.394346310381341
level_four,male,UKE,1,conservative,0.392863841635748
level_four,male,UKF,1,conservative,0.529671232420253
level_four,male,UKG,1,conservative,0.421857173883047
level_four,male,UKH,1,conservative,0.542385469162147
level_four,male,UKI,1,conservative,0.288498164022859
level_four,male,UKJ,1,conservative,0.507827586623936
level_four,male,UKK,1,conservative,0.376393565793663
level_four,male,UKL,1,conservative,0.397457973939635
level_four,male,UKM,1,conservative,0.185224219556843
level_four,female,UKC,1,conservative,0.235878920583943
level_four,female,UKD,1,conservative,0.313764281040509
level_four,female,UKE,1,conservative,0.314232222457998
level_four,female,UKF,1,conservative,0.440772147327771
level_four,female,UKG,1,conservative,0.338257261030569
level_four,female,UKH,1,conservative,0.46526682717032
level_four,female,UKI,1,conservative,0.216599865095023
level_four,female,UKJ,1,conservative,0.424286127426381
level_four,female,UKK,1,conservative,0.299468179752443
level_four,female,UKL,1,conservative,0.310826090264374
level_four,female,UKM,1,conservative,0.138596795283396
no_qualifications,male,UKC,1,labour,0.0942931254218604
no_qualifications,male,UKD,1,labour,0.101109795701084
no_qualifications,male,UKE,1,labour,0.119889467778709
no_qualifications,male,UKF,1,labour,0.0914326426144383
no_qualifications,male,UKG,1,labour,0.144396745577818
no_qualifications,male,UKH,1,labour,0.0883844015310653
no_qualifications,male,UKI,1,labour,0.1159273974508
no_qualifications,male,UKJ,1,labour,0.106023010742522
no_qualifications,male,UKK,1,labour,0.102331957120975
no_qualifications,male,UKL,1,labour,0.0954202768780979
no_qualifications,male,UKM,1,labour,0.0841278792694453
no_qualifications,female,UKC,1,labour,0.0988465318754736
no_qualifications,female,UKD,1,labour,0.106752895940146
no_qualifications,female,UKE,1,labour,0.127080617497394
no_qualifications,female,UKF,1,labour,0.0990906796242162
no_qualifications,female,UKG,1,labour,0.153322694164897
no_qualifications,female,UKH,1,labour,0.0962758575286903
no_qualifications,female,UKI,1,labour,0.120033965141101
no_qualifications,female,UKJ,1,labour,0.115997180079615
no_qualifications,female,UKK,1,labour,0.111743321607054
no_qualifications,female,UKL,1,labour,0.100919342023577
no_qualifications,female,UKM,1,labour,0.0903514124763297
level_one,male,UKC,1,labour,0.0706974261271205
level_one,male,UKD,1,labour,0.0765897827833089
level_one,male,UKE,1,labour,0.0924679515921462
level_one,male,UKF,1,labour,0.0698293839984818
level_one,male,UKG,1,labour,0.112988028516421
level_one,male,UKH,1,labour,0.0679703299005582
level_one,male,UKI,1,labour,0.0905358135859102
level_one,male,UKJ,1,labour,0.0830601759850138
level_one,male,UKK,1,labour,0.0814756264292306
level_one,male,UKL,1,labour,0.0894954946636776
level_one,male,UKM,1,labour,0.0643294648732385
level_one,female,UKC,1,labour,0.0744499117992819
level_one,female,UKD,1,labour,0.08117200133458
level_one,female,UKE,1,labour,0.0983279053663671
level_one,female,UKF,1,labour,0.0756035039382549
level_one,female,UKG,1,labour,0.120228866981116
level_one,female,UKH,1,labour,0.0739390501991886
level_one,female,UKI,1,labour,0.093670476348917
level_one,female,UKJ,1,labour,0.0906788440861169
level_one,female,UKK,1,labour,0.0885111597912738
level_one,female,UKL,1,labour,0.0944051691642782
level_one,female,UKM,1,labour,0.0690940390668395
level_two,male,UKC,1,labour,0.0760486916584053
level_two,male,UKD,1,labour,0.0819286967063861
level_two,male,UKE,1,labour,0.0985731412265785
level_two,male,UKF,1,labour,0.0747864194704085
level_two,male,UKG,1,labour,0.119876774590288
level_two,male,UKH,1,labour,0.0727747415252061
level_two,male,UKI,1,labour,0.0946102296557532
level_two,male,UKJ,1,labour,0.0879131868458399
level_two,male,UKK,1,labour,0.0848329851340022
level_two,male,UKL,1,labour,0.0954961285158847
level_two,male,UKM,1,labour,0.0687508299921368
level_two,female,UKC,1,labour,0.080325333735083
level_two,female,UKD,1,labour,0.0869934965492491
level_two,female,UKE,1,labour,0.104831156879898
level_two,female,UKF,1,labour,0.0806022527863548
level_two,female,UKG,1,labour,0.127268749590633
level_two,female,UKH,1,labour,0.0788117196740145
level_two,female,UKI,1,labour,0.0982918088184678
level_two,female,UKJ,1,labour,0.095462539812652
level_two,female,UKK,1,labour,0.0917927692897241
level_two,female,UKL,1,labour,0.100511976829755
level_two,female,UKM,1,labour,0.0735738947186493
level_three,male,UKC,1,labour,0.0693636258431983
level_three,male,UKD,1,labour,0.0738500973084917
level_three,male,UKE,1,labour,0.0885930989882278
